Sw,krow,krw,pcow,satnum,tag,type,Sg,krg,krog,pcog
0.1843,0.694019,0,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.1943,0.694019,1.00E-07,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2043,0.694019,1.60E-06,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2143,0.6940186,7.60E-06,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2243,0.6940154,2.37E-05,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2343,0.6939977,5.96E-05,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2443,0.6939227,0.0001303,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2543,0.693659,0.0002589,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2643,0.6928438,0.000481,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2743,0.6905556,0.0008496,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2843,0.6846149,0.001444,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.2943,0.6702566,0.0023821,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3043,0.6382657,0.0038377,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3143,0.5747306,0.0060669,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3243,0.4690853,0.0094442,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3343,0.3329351,0.0145124,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3443,0.2031876,0.0220459,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3543,0.1096992,0.0331212,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3643,0.0547164,0.0491701,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3743,0.0260777,0.071956,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3843,0.0120967,0.1033633,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.3943,0.0055017,0.1448536,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4043,0.0024557,0.1965356,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4143,0.0010729,0.2561498,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4243,0.0004566,0.3187715,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4343,0.0001881,0.3780063,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4443,7.44E-05,0.4283109,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4543,2.79E-05,0.4668614,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4643,9.80E-06,0.4937853,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4743,3.20E-06,0.5110958,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4843,9.00E-07,0.5214054,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.4943,2.00E-07,0.5270895,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.5043,0,0.5299614,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.5143,0,0.5312597,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.5243,0,0.5317609,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.5343,0,0.5319112,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.5443,0,0.5319393,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.5543,0,0.531941,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.555892,0,0.531941,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
1,0,1,0,1,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0,1,0,0,2,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
0.5,0.5,0.5,0,2,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
1,0,1,0,2,eclipse/include/props/swof.inc,SWOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1,eclipse/include/props/sgof.inc,SGOF,NaN,NaN,NaN,NaN
